Number of Daily Cases,Date
115,12/07/21
106,11/07/21
66,10/07/21
39,09/07/21
78,08/07/21
77,07/07/21
79,06/07/21
75,05/07/21
58,04/07/21
52,03/07/21
56,02/07/21
64,01/07/21
66,30/06/21
46,29/06/21
71,28/06/21
30,27/06/21
32,26/06/21
30,25/06/21
36,24/06/21
37,23/06/21
18,22/06/21
20,21/06/21
11,20/06/21
20,19/06/21
19,18/06/21
15,17/06/21
20,16/06/21
18,15/06/21
14,14/06/21
18,13/06/21
11,12/06/21
11,11/06/21
18,10/06/21
14,09/06/21
18,08/06/21
4,07/06/21
11,06/06/21
16,05/06/21
17,04/06/21
11,03/06/21
17,02/06/21
10,01/06/21
14,31/05/21
8,30/05/21
7,29/05/21
10,28/05/21
10,27/05/21
1,26/05/21
6,25/05/21
6,24/05/21
1,23/05/21
8,22/05/21
5,21/05/21
3,20/05/21
0,19/05/21
0,18/05/21
6,17/05/21
2,16/05/21
9,15/05/21
7,14/05/21
3,13/05/21
3,12/05/21
5,11/05/21
1,10/05/21
2,09/05/21
3,08/05/21
7,07/05/21
3,06/05/21
3,05/05/21
6,04/05/21
3,03/05/21
4,02/05/21
1,01/05/21
3,30/04/21
10,29/04/21
7,28/04/21
7,27/04/21
8,26/04/21
5,25/04/21
3,24/04/21
10,23/04/21
5,22/04/21
5,21/04/21
7,20/04/21
6,19/04/21
2,18/04/21
6,17/04/21
10,16/04/21
6,15/04/21
8,14/04/21
5,13/04/21
8,12/04/21
0,11/04/21
1,10/04/21
0,09/04/21
3,08/04/21
8,07/04/21
5,06/04/21
3,05/04/21
4,04/04/21
3,03/04/21
6,02/04/21
7,01/04/21
9,31/03/21
10,30/03/21
11,29/03/21
7,28/03/21
6,27/03/21
7,26/03/21
14,25/03/21
10,24/03/21
5,23/03/21
10,22/03/21
7,21/03/21
14,20/03/21
2,19/03/21
14,18/03/21
10,17/03/21
13,16/03/21
7,15/03/21
12,14/03/21
10,13/03/21
19,12/03/21
20,11/03/21
10,10/03/21
11,09/03/21
12,08/03/21
10,07/03/21
13,06/03/21
11,05/03/21
23,04/03/21
8,03/03/21
17,02/03/21
10,01/03/21
15,28/02/21
16,27/02/21
23,26/02/21
39,25/02/21
23,24/02/21
29,23/02/21
20,22/02/21
21,21/02/21
27,20/02/21
24,19/02/21
39,18/02/21
16,17/02/21
25,16/02/21
28,15/02/21
26,14/02/21
37,13/02/21
58,12/02/21
35,11/02/21
32,10/02/21
42,09/02/21
25,08/02/21
58,07/02/21
57,06/02/21
67,05/02/21
97,04/02/21
93,03/02/21
80,02/02/21
61,01/02/21
85,31/01/21
72,30/01/21
122,29/01/21
104,28/01/21
103,27/01/21
71,26/01/21
75,25/01/21
146,24/01/21
130,23/01/21
174,22/01/21
229,21/01/21
147,20/01/21
171,19/01/21
161,18/01/21
233,17/01/21
204,16/01/21
220,15/01/21
213,14/01/21
249,13/01/21
156,12/01/21
225,11/01/21
222,10/01/21
297,09/01/21
361,08/01/21
274,07/01/21
315,06/01/21
298,05/01/21
420,04/01/21
302,03/01/21
309,02/01/21
391,01/01/21
293,31/12/20
391,30/12/20
299,29/12/20
243,28/12/20
294,27/12/20
277,26/12/20
189,25/12/20
215,24/12/20
156,23/12/20
177,22/12/20
185,21/12/20
214,20/12/20
172,19/12/20
112,18/12/20
145,17/12/20
182,16/12/20
86,15/12/20
114,14/12/20
88,13/12/20
103,12/12/20
116,11/12/20
98,10/12/20
57,09/12/20
40,08/12/20
47,07/12/20
82,06/12/20
49,05/12/20
67,04/12/20
40,03/12/20
53,02/12/20
51,01/12/20
19,30/11/20
39,29/11/20
52,28/11/20
43,27/11/20
28,26/11/20
44,25/11/20
15,24/11/20
54,23/11/20
41,22/11/20
71,21/11/20
20,20/11/20
40,19/11/20
44,18/11/20
37,17/11/20
0,16/11/20
29,15/11/20
65,14/11/20
75,13/11/20
71,12/11/20
57,11/11/20
24,10/11/20
43,09/11/20
30,08/11/20
47,07/11/20
59,06/11/20
45,05/11/20
39,04/11/20
38,03/11/20
30,02/11/20
42,01/11/20
17,31/10/20
40,30/10/20
32,29/10/20
44,28/10/20
45,27/10/20
39,26/10/20
43,25/10/20
26,24/10/20
25,23/10/20
20,22/10/20
62,21/10/20
31,20/10/20
31,19/10/20
33,18/10/20
20,17/10/20
26,16/10/20
35,15/10/20
32,14/10/20
29,13/10/20
16,12/10/20
11,11/10/20
18,10/10/20
27,09/10/20
23,08/10/20
21,07/10/20
6,06/10/20
9,05/10/20
20,04/10/20
6,03/10/20
13,02/10/20
2,01/10/20
7,30/09/20
10,29/09/20
3,28/09/20
5,27/09/20
1,26/09/20
8,25/09/20
11,24/09/20
11,23/09/20
6,22/09/20
6,21/09/20
2,20/09/20
2,19/09/20
3,18/09/20
4,17/09/20
5,16/09/20
8,15/09/20
3,14/09/20
1,13/09/20
3,12/09/20
3,11/09/20
6,10/09/20
2,09/09/20
5,08/09/20
1,07/09/20
4,06/09/20
3,05/09/20
6,04/09/20
3,03/09/20
2,02/09/20
1,01/09/20
4,31/08/20
3,30/08/20
2,29/08/20
0,28/08/20
1,27/08/20
0,26/08/20
5,25/08/20
1,24/08/20
3,23/08/20
3,22/08/20
5,21/08/20
3,20/08/20
6,19/08/20
0,18/08/20
0,17/08/20
0,16/08/20
4,15/08/20
2,14/08/20
0,13/08/20
3,12/08/20
0,11/08/20
0,10/08/20
0,09/08/20
0,08/08/20
2,07/08/20
2,06/08/20
1,05/08/20
0,04/08/20
1,03/08/20
1,02/08/20
1,01/08/20
2,31/07/20
3,30/07/20
1,29/07/20
0,28/07/20
4,27/07/20
4,26/07/20
1,25/07/20
2,24/07/20
1,23/07/20
2,22/07/20
1,21/07/20
0,20/07/20
0,19/07/20
2,18/07/20
0,17/07/20
2,16/07/20
2,15/07/20
3,14/07/20
0,13/07/20
1,12/07/20
4,11/07/20
1,10/07/20
0,09/07/20
0,08/07/20
1,07/07/20
0,06/07/20
0,05/07/20
1,04/07/20
0,03/07/20
1,02/07/20
227,01/07/20
0,30/06/20
0,29/06/20
0,28/06/20
0,27/06/20
1,26/06/20
1,25/06/20
0,24/06/20
0,23/06/20
0,22/06/20
2,21/06/20
0,20/06/20
0,19/06/20
1,18/06/20
3,17/06/20
2,16/06/20
0,15/06/20
1,14/06/20
1,13/06/20
1,12/06/20
1,11/06/20
0,10/06/20
2,09/06/20
0,08/06/20
0,07/06/20
3,06/06/20
2,05/06/20
0,04/06/20
2,03/06/20
9,02/06/20
0,01/06/20
2,31/05/20
0,30/05/20
0,29/05/20
0,28/05/20
4,27/05/20
4,26/05/20
0,25/05/20
3,24/05/20
3,23/05/20
0,22/05/20
0,21/05/20
1,20/05/20
1,19/05/20
1,18/05/20
0,17/05/20
0,16/05/20
1,15/05/20
11,14/05/20
1,13/05/20
3,12/05/20
1,11/05/20
0,10/05/20
2,09/05/20
8,08/05/20
1,07/05/20
4,06/05/20
16,05/05/20
4,04/05/20
6,03/05/20
1,02/05/20
4,01/05/20
6,30/04/20
3,29/04/20
2,28/04/20
11,27/04/20
9,26/04/20
9,25/04/20
13,24/04/20
10,23/04/20
4,22/04/20
6,21/04/20
15,20/04/20
15,19/04/20
40,18/04/20
19,17/04/20